# generated by run.sh -- do not hand-edit
# date: 2026-09-06T15:52:13Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 6  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/list
cpu: QEMU Virtual CPU version 2.5+
BenchmarkIterate/raw-list/1024-23                	  150552	       774.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/1024-23                	  154521	       772.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/1024-23               	  502020	       206.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/1024-23               	  588937	       204.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/1024-23               	  587142	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/1024-23               	  605059	       198.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/1024-23               	  515362	       207.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/1024-23               	  571309	       198.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/1024-23                	  111026	      1114 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/1024-23                	  110857	      1122 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/1024-23                	  110052	      1110 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/1024-23                	  102949	      1133 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/1024-23                	  106190	      1154 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/1024-23                	  108724	      1116 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/1024-23               	  100353	      1173 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/1024-23               	  101961	      1168 ns/op	       0 B/op	       0 allocs/op
