# generated by run.sh -- do not hand-edit
# date: 2026-09-08T06:27:59Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 20  benchtime: 300ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/reftypes
cpu: QEMU Virtual CPU version 2.5+
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.235 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.249 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.113 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.219 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.328 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.320 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.065 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/RefStructNilChecked-23 	100000000	         3.159 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	97891684	         3.608 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	96592251	         3.595 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	100000000	         3.592 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	96719092	         3.711 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	97510977	         3.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	98393480	         3.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	98262177	         3.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	95000192	         3.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	96414943	         3.682 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	97661282	         3.737 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	93513828	         3.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	92411334	         3.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	91978197	         3.590 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	88812728	         3.779 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	95265187	         3.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	97971979	         3.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	98799015	         3.598 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	100000000	         3.618 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	95269952	         3.597 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Interface-23           	94562424	         3.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	952023439	         0.3779 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	952385536	         0.3778 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	982874529	         0.3743 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	948777655	         0.3743 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	986546168	         0.3663 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	939929104	         0.3759 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	990298567	         0.3653 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	949361955	         0.3756 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	958977882	         0.3751 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	991002986	         0.3647 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	984937164	         0.3662 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	977275759	         0.3691 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	974227593	         0.3674 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	978465841	         0.3671 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	979397689	         0.3663 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	976738642	         0.3669 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	980953318	         0.3693 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	974872498	         0.3663 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	959471854	         0.3748 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Ptr-23                 	962640741	         0.3761 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	957287353	         0.3752 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	957969818	         0.3748 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	948905672	         0.3746 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	961905007	         0.3748 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	988338754	         0.3650 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	953619774	         0.3778 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	950147727	         0.3782 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	951704461	         0.3772 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	973841296	         0.3670 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	985215607	         0.3664 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	964321290	         0.3698 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	975463197	         0.3675 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	972950541	         0.3679 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	957303416	         0.3743 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	983112502	         0.3721 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	949432962	         0.3751 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	961186077	         0.3752 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	957994316	         0.3755 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	976347440	         0.3677 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStruct-23           	978997138	         0.3678 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	897452043	         0.4122 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	639004584	         0.5617 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	642799428	         0.5605 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	882124474	         0.4060 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	888453896	         0.4065 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	884774208	         0.4086 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	893039914	         0.4148 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	865905490	         0.4159 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	874367288	         0.4128 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	869319582	         0.4178 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	875721944	         0.4109 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	871296192	         0.4147 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	960551919	         0.4017 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	881112580	         0.4063 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	933109113	         0.4101 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	875401927	         0.4132 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	894001340	         0.4081 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	874427498	         0.4125 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	865932192	         0.4134 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/RefStructNilChecked-23 	873695666	         0.4120 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	283784344	         1.269 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	362970001	         0.9494 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	385340252	         0.8185 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	331732212	         0.9698 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	325673292	         0.9684 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	384355620	         0.8957 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	384091567	         0.8866 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	315302535	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	385364344	         0.8881 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	328329604	         1.217 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	332266790	         1.110 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	326477530	         1.217 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	333364363	         0.9783 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	357809265	         1.012 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	396038052	         0.7990 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	282332344	         1.273 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	449471994	         0.8453 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	411270318	         0.8829 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	314138011	         0.9866 ns/op	       0 B/op	       0 allocs/op
BenchmarkLen/Interface-23           	394562026	         0.9851 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6399559	        74.06 ns/op	      47 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7490959	        84.94 ns/op	      69 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6679101	        72.55 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6721080	        74.67 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7563002	        85.70 ns/op	      72 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7347673	        81.31 ns/op	      61 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6531906	        72.37 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7283311	        79.37 ns/op	      58 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6979485	        75.56 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6201141	        71.66 ns/op	      48 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6878246	        73.99 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6815415	        73.27 ns/op	      44 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7182220	        75.57 ns/op	      52 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6799161	        71.36 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7009629	        73.30 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7147941	        76.28 ns/op	      51 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6806343	        73.16 ns/op	      44 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7740475	        87.66 ns/op	      76 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 7533142	        84.84 ns/op	      71 B/op	       0 allocs/op
BenchmarkAdd/Ptr-23                 	 6631062	        70.13 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7603279	        85.05 ns/op	      73 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7382502	        81.81 ns/op	      63 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7003302	        76.25 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7695874	        87.22 ns/op	      75 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7550227	        85.95 ns/op	      72 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7590507	        85.43 ns/op	      73 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 6720513	        71.47 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7695513	        87.04 ns/op	      75 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 8249881	        85.81 ns/op	      73 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7136548	        74.67 ns/op	      50 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 8086905	        88.10 ns/op	      74 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7665980	        87.11 ns/op	      75 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 6273250	        70.29 ns/op	      48 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7135725	        75.58 ns/op	      50 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7160007	        76.99 ns/op	      51 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 6953636	        73.60 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 6812132	        72.14 ns/op	      44 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 6763306	        71.92 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 6616078	        72.21 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/RefStruct-23           	 7402318	        81.84 ns/op	      64 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 7420813	        86.74 ns/op	      66 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6990290	        78.58 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 7181169	        82.66 ns/op	      52 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6540220	        78.85 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6495806	        75.65 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6949622	        77.59 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6455880	        77.54 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6580012	        76.03 ns/op	      46 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 7257937	        83.17 ns/op	      56 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6868885	        75.99 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 7634458	        88.92 ns/op	      74 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6910810	        75.87 ns/op	      45 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 8024562	        92.16 ns/op	      75 B/op	       0 allocs/op
BenchmarkAdd/Interface-23           	 6953820	        78.75 ns/op	      45 B/op	       0 allocs/op
