# generated by run.sh -- do not hand-edit
# date: 2026-09-08T15:58:38Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sliceadapter
cpu: QEMU Virtual CPU version 2.5+
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   49503	      5144 ns/op	   38976 B/op	       6 allocs/op
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   43418	      5363 ns/op	   38976 B/op	       6 allocs/op
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   44497	      5428 ns/op	   38976 B/op	       6 allocs/op
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   45048	      5410 ns/op	   38976 B/op	       6 allocs/op
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   45094	      5251 ns/op	   38976 B/op	       6 allocs/op
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   45193	      5360 ns/op	   38976 B/op	       6 allocs/op
BenchmarkAppendAllOntoNonEmpty/FromValuesSeq-23            	   44985	      5379 ns/op	   38976 B/op	       6 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1205037	       198.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1000000	       204.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1000000	       202.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1223799	       196.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1220550	       196.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1000000	       205.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1000000	       202.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1201303	       199.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1224180	       196.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/RawSlice-23                            	 1000000	       203.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1000000	       202.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1224770	       196.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1218267	       196.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1211422	       198.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1000000	       203.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1000000	       202.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1218381	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1221174	       196.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1221384	       196.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterBuiltinIndex-23            	 1216010	       197.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1241348	       192.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1259424	       190.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1257865	       190.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1256589	       190.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1257753	       190.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1262079	       190.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1000000	       200.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1219028	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1214440	       197.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/SliceAdapterAtMethod-23                	 1249917	       191.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  970642	       245.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	 1000000	       239.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  952041	       240.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  923722	       247.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  974996	       247.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  936180	       246.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  934806	       246.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  914598	       247.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  888112	       241.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexedSum/VectorAtMethod-23                      	  956530	       240.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	637084362	         0.3765 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	652671982	         0.3651 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	655913080	         0.3657 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	650505471	         0.3710 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	636027153	         0.3749 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	653239047	         0.3657 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	655324348	         0.3657 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	638047014	         0.3798 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	643306543	         0.3680 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverVector-23                       	636348681	         0.3763 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19167217	        11.92 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19990856	        12.02 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19295672	        11.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19316863	        11.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	20349676	        11.85 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	20212722	        12.00 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	20432505	        11.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19429261	        12.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19363118	        12.34 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByValue-23                 	19985253	        11.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	655560721	         0.3682 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	650645919	         0.3690 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	634241643	         0.3751 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	640498528	         0.3745 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	651868136	         0.3722 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	659055961	         0.3652 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	654692842	         0.3663 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	642637435	         0.3662 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	629477684	         0.3801 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewConstruct/OverSliceByPointer-23               	646910173	         0.3677 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportSemantics-23                                	1000000000	         0.2317 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2239 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
