# generated by run.sh -- do not hand-edit
# date: 2026-09-08T03:08:01Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/viewiface
cpu: QEMU Virtual CPU version 2.5+
BenchmarkLocal/Ptr-23        	18711236	        12.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	19973067	        12.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	19877306	        12.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	19750377	        12.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	19608081	        12.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	19966692	        12.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	19820499	        12.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkLocal/Ptr-23        	20049128	        11.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkCross/Field/1-23    	 7790847	        30.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7866007	        30.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7908442	        30.18 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7981837	        30.39 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7858756	        30.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7714447	        30.52 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7855465	        30.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7861887	        30.34 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7918560	        30.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/1-23    	 7896459	        30.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7982874	        30.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7799236	        30.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7794864	        30.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7903676	        30.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 8114362	        30.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7846580	        29.95 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7918233	        30.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7936678	        30.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7869340	        30.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/1-23    	 7901926	        30.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8513911	        28.46 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8325484	        28.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8594979	        28.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8405756	        28.70 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8566498	        28.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8283954	        28.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8431570	        28.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8339654	        28.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8381088	        28.46 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/1-23      	 8523445	        28.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/2-23    	 4025817	        59.57 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 3986010	        59.19 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4111957	        59.23 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4028631	        59.27 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4049860	        59.18 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4011300	        59.38 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4011673	        59.30 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4073722	        58.97 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4099972	        58.81 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Field/2-23    	 4056865	        59.41 ns/op	      48 B/op	       2 allocs/op
BenchmarkCross/Iface/2-23    	 5313150	        43.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5637715	        42.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5596166	        43.15 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5491351	        42.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5523138	        43.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5647460	        42.79 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5482273	        43.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5427176	        43.26 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5528245	        43.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/2-23    	 5453797	        43.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5899228	        40.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5846320	        41.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5849211	        40.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5837559	        40.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5989982	        40.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5954232	        40.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5911230	        40.67 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5705508	        40.92 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5882143	        40.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/2-23      	 5873329	        40.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/4-23    	 2062237	       117.3 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2018856	       119.6 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2008144	       119.3 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2017030	       118.5 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2006749	       118.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2010112	       118.7 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2004367	       119.1 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2040462	       118.4 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Field/4-23    	 2029696	       118.3 ns/op	      96 B/op	       4 allocs/op
