# generated by run.sh -- do not hand-edit
# date: 2026-09-07T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/views
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBox/per-contract-23             	 9848664	        12.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	 9903968	        12.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	 9564507	        12.10 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	 9719599	        12.00 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	10224811	        12.37 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	 9987979	        12.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	 9516685	        12.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	 9808789	        12.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	10334470	        11.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-field-23         	10144213	        12.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/projecting-witness-23       	320751721	         0.3683 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	325798677	         0.3679 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	267911155	         0.4168 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	314978692	         0.3761 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	299829404	         0.3788 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	261918736	         0.4614 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	320468858	         0.3747 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/projecting-witness-23       	320615032	         0.3745 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	408859104	         0.2895 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	404352448	         0.2931 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	402162373	         0.2935 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	412412416	         0.2944 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	406264104	         0.2933 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	414211756	         0.2887 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	410356831	         0.2900 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	396556972	         0.2978 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/views	10.468s
