# generated by run.sh -- do not hand-edit
# date: 2026-09-24T21:35:05Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/witness
cpu: QEMU Virtual CPU version 2.5+
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2163805	       111.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2124597	       112.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2113050	       113.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2159709	       111.4 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2176623	       111.0 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3461908	        69.43 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3457513	        69.66 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3389960	        68.96 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3534021	        68.29 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3548971	        67.63 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3530600	        67.65 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3577980	        68.31 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3472646	        69.40 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5708718	        42.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5762216	        41.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5752168	        41.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5606426	        43.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5714494	        41.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5677083	        42.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5772698	        41.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/Each(non-capturing)-23          	 5768078	        41.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  391652	       589.3 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  408499	       596.9 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  436429	       586.8 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  423232	       586.4 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  385522	       591.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  415506	       589.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  402352	       587.7 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(per-call)-23        	  402697	       584.5 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  408890	       569.2 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  432540	       569.4 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  441961	       567.4 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  439368	       561.1 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  436342	       568.2 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  446342	       567.8 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  444922	       559.5 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/range-Keys(hoisted)-23         	  458973	       556.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  454468	       521.4 ns/op	    1152 B/op	       1 allocs/op
