# generated by run.sh -- do not hand-edit
# date: 2026-09-10T22:07:12Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/refcontainers
cpu: QEMU Virtual CPU version 2.5+
BenchmarkContainerShape/Len/ref-23                  	552978559	         0.4158 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref-23                  	579060603	         0.4121 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref-23                  	582619003	         0.4110 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref-23                  	436038288	         0.5459 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	637191682	         0.3748 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	644323478	         0.3680 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	639787453	         0.3753 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	651617116	         0.3690 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	636770080	         0.3743 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	636197118	         0.3751 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	654392070	         0.3683 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	648842739	         0.3679 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	641392402	         0.3745 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Len/ref+nilcheck-23         	658571306	         0.3670 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  690219	       345.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  684232	       352.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  621410	       343.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  695542	       343.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  661171	       345.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  673513	       351.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  656748	       357.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  704167	       336.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  644040	       354.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ptr-23                 	  689601	       348.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  742687	       325.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  738034	       325.8 ns/op	       0 B/op	       0 allocs/op
