# generated by run.sh -- do not hand-edit
# date: 2026-09-06T05:18:34Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/dispatch
cpu: QEMU Virtual CPU version 2.5+
BenchmarkDelete/generic/quiet-23       	44092860	         5.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	29607434	         8.270 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	27884943	         8.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	28142532	         8.404 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	29499692	         8.172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	29312883	         8.210 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	29602497	         8.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	28532478	         8.177 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	27564908	         8.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	29204424	         8.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/generic/report-23      	29035645	         8.211 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	74107742	         3.178 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	73804550	         3.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	73670862	         3.245 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	75856538	         3.197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	75166516	         3.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	74911464	         3.160 ns/op	       0 B/op	       0 allocs/op
