# generated by run.sh -- do not hand-edit
# date: 2026-09-11T03:49:29Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/reverse
cpu: QEMU Virtual CPU version 2.5+
BenchmarkReverseFull/naive/materialise-23   	  108573	      2183 ns/op	    8280 B/op	       4 allocs/op
BenchmarkReverseFull/naive/materialise-23   	  109350	      2210 ns/op	    8280 B/op	       4 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1770679	       133.4 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1805287	       133.4 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1835692	       131.9 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1799737	       133.6 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1827301	       131.7 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1814422	       132.6 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1816380	       132.3 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1825591	       132.6 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1810803	       131.8 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/A/method-pair-23   	 1796029	       132.7 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1639742	       146.0 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1613332	       148.8 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1617541	       148.4 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1582338	       151.9 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1604642	       150.3 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1638258	       146.0 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1611232	       148.5 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1601419	       149.0 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1628052	       148.0 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/B/view-23          	 1616012	       148.1 ns/op	     120 B/op	       4 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2101633	       115.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2007584	       118.4 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2022276	       118.2 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2064877	       117.8 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2016619	       119.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2034837	       117.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2040224	       116.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 1995193	       119.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2019859	       117.8 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeForward/C/span-23          	 2008594	       120.2 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1933532	       123.3 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1940791	       124.0 ns/op	      88 B/op	       3 allocs/op
