# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedsetbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuild/bare/16384-23      	       7	  14425558 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       7	  14408028 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       8	  13954107 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       8	  13963780 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       7	  14504410 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       8	  13983255 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       7	  14446192 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       7	  14452989 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       8	  13955314 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/16384-23      	       8	  13895370 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  27791569 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26733176 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  27707781 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26813948 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  27752796 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26724064 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26753061 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26757349 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26814379 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vlast/16384-23     	       4	  26730957 ns/op	  262144 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       8	  14138906 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       7	  14787171 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       8	  14165436 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       8	  14265993 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       7	  14765817 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       7	  14654247 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       7	  14643368 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       8	  14167725 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       7	  14751600 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/vfirst/16384-23    	       8	  14194929 ns/op	  131072 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3222477067 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3336934963 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3332989274 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3223167542 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3342398424 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3334860674 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3338564660 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3219987942 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3336845306 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/bare/262144-23     	       1	3334782133 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6544390609 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6645152030 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6422443937 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6423179867 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6528449118 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6422309982 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6643455538 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6647760650 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vlast/262144-23    	       1	6423055004 ns/op	 4194304 B/op	       1 allocs/op
