# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildRandom/slice/512-23       	    3866	     64591 ns/op	       126.2 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/512-23       	    3480	     65018 ns/op	       127.0 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/512-23       	    3738	     64199 ns/op	       125.4 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6934	     37184 ns/op	        72.63 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6685	     37070 ns/op	        72.40 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6477	     37366 ns/op	        72.98 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    7084	     36943 ns/op	        72.15 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6418	     37197 ns/op	        72.65 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6158	     36799 ns/op	        71.87 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6640	     36649 ns/op	        71.58 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6897	     37334 ns/op	        72.92 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6742	     37229 ns/op	        72.71 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/btree/512-23       	    6627	     36408 ns/op	        71.11 ns/insert	   30928 B/op	      55 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      80	   2780708 ns/op	       678.9 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      86	   2782063 ns/op	       679.2 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      85	   2732403 ns/op	       667.1 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      86	   2754976 ns/op	       672.6 ns/insert	   98329 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      88	   2782631 ns/op	       679.4 ns/insert	   98330 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      84	   2788562 ns/op	       680.8 ns/insert	   98330 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      82	   2714448 ns/op	       662.7 ns/insert	   98329 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      75	   2721982 ns/op	       664.5 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      81	   2726012 ns/op	       665.5 ns/insert	   98330 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/4096-23      	      87	   2773411 ns/op	       677.1 ns/insert	   98329 B/op	       2 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     514	    457965 ns/op	       111.8 ns/insert	  223161 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     548	    451617 ns/op	       110.3 ns/insert	  223160 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     535	    453133 ns/op	       110.6 ns/insert	  223160 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     535	    449426 ns/op	       109.7 ns/insert	  223161 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     534	    453994 ns/op	       110.8 ns/insert	  223161 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     526	    454364 ns/op	       110.9 ns/insert	  223160 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     538	    452173 ns/op	       110.4 ns/insert	  223161 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     532	    451274 ns/op	       110.2 ns/insert	  223161 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     532	    455082 ns/op	       111.1 ns/insert	  223160 B/op	     303 allocs/op
BenchmarkBuildRandom/btree/4096-23      	     543	    447034 ns/op	       109.1 ns/insert	  223160 B/op	     303 allocs/op
