# generated by run.sh -- do not hand-edit
# date: 2026-09-25T00:37:06Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

# seal check: the impossible assertion still does not compile:
#   # badcastcheck
#   ./bad.go:10:7: impossible type assertion: v.(s.MapSet[string])
#   	sealing.MapSet[string] does not implement sealing.IfaceView[string] (missing method viewOnly)

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sealing
cpu: QEMU Virtual CPU version 2.5+
BenchmarkAll/boundary/StructView-23           	16568194	        14.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	91955960	         2.266 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.259 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/IfaceView-23            	100000000	         2.311 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	84763660	         2.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	84257680	         2.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	87060867	         2.848 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	81179840	         2.778 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	81733540	         2.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	82416308	         2.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	89940661	         2.577 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/boundary/PtrView-23              	80940964	         2.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/construct/StructView-23          	17756101	        13.42 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	18323685	        13.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	17446092	        13.42 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	18251119	        13.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	17908839	        13.50 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	17680627	        13.71 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	17584802	        13.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/StructView-23          	17850548	        13.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	17870976	        13.42 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	18979626	        13.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	17217228	        13.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	18099154	        13.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	18365888	        13.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	18180225	        13.26 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/IfaceView-23           	18695212	        12.91 ns/op	      24 B/op	       1 allocs/op
