# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:33:17Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sizedcollect
cpu: QEMU Virtual CPU version 2.5+
BenchmarkCollect/unknown/4096-23       	    9540	     12719 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    9396	     13267 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    8116	     13132 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    9817	     13284 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    9556	     13226 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    8065	     13355 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    9201	     13218 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    8806	     13233 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	    7934	     12786 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/unknown/4096-23       	   10000	     13155 ns/op	  128248 B/op	      16 allocs/op
BenchmarkCollect/known/4096-23         	   38642	      3093 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   38217	      3162 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   36864	      3171 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   37752	      3186 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   37902	      3112 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   39464	      3083 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   39871	      2830 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   38428	      3083 ns/op	   32768 B/op	       1 allocs/op
